Function: Individu::RunSearchPi | Total Time: 1220.61 ms | Call Count: 2098 | Avg Time: 0.581795 ms
Function: ZN10Population15recopieIndividuEP8IndividuS1_EUliE_ | Total Time: 14.054 ms | Call Count: 3359 | Avg Time: 0.00418398 ms
Function: ZN10PopulationC4EP10ParamsListEUliE_ | Total Time: 0.016 ms | Call Count: 1 | Avg Time: 0.016 ms
Function: ZN7Genetic13crossPOX_OU_2EvEUliE_ | Total Time: 41.055 ms | Call Count: 999 | Avg Time: 0.0410961 ms
Function: ZN7GeneticC4EP10ParamsListP10PopulationlbbEUliE_ | Total Time: 0.009 ms | Call Count: 1 | Avg Time: 0.009 ms
Function: ZN8Individu10measureSolEvEUliE_ | Total Time: 24.505 ms | Call Count: 3940 | Avg Time: 0.00621954 ms
Function: ZN8Individu11updateIndivEvEUliE_ | Total Time: 35.533 ms | Call Count: 2098 | Avg Time: 0.0169366 ms
Function: ZN8Individu12generalSplitEvEUliE_ | Total Time: 16.117 ms | Call Count: 1609 | Avg Time: 0.0100168 ms
Function: ZN8Individu12removeProcheEPS_EUliE_ | Total Time: 5.86 ms | Call Count: 22295 | Avg Time: 0.000262839 ms
Function: ZN8Individu13UpdatePenaltyEvEUliE_ | Total Time: 1.581 ms | Call Count: 9656 | Avg Time: 0.000163732 ms
Function: ZN8Individu14distPlusProcheEiEUliE_ | Total Time: 37.432 ms | Call Count: 145692 | Avg Time: 0.000256926 ms
Function: ZN8Individu17RunSearchPi_LocalEiEUliE_ | Total Time: 6.516 ms | Call Count: 2098 | Avg Time: 0.00310582 ms
Function: ZN8Individu8distanceEPS_EUliE_ | Total Time: 196.051 ms | Call Count: 193176 | Avg Time: 0.00101488 ms
Function: ZN8Individu8updateLSEvEUliE_ | Total Time: 16.86 ms | Call Count: 2098 | Avg Time: 0.00803622 ms
Function: ZN8IndividuC4EP10ParamsListEUliE_ | Total Time: 30.294 ms | Call Count: 1242 | Avg Time: 0.0243913 ms
