Instance,Nodes,Basic_Time,Basic_Obj,Basic_SEC_Count,Opt_Time,Opt_Obj,Speedup
N20ft204,20,0.66,627.70,16644,0.06,627.70,11.00
N20ft205,20,0.44,574.40,16644,0.03,574.40,14.66
N20ft206,20,0.60,557.70,16644,0.08,557.70,7.50
N20ft207,20,0.98,576.60,16644,0.06,576.60,16.33
N20ft208,20,0.89,698.30,16644,0.06,692.10,14.83
N20ft209,20,0.93,584.40,16644,0.16,575.90,5.81
N20ft210,20,0.80,348.20,16644,0.18,328.90,4.44
N20ft301,20,0.61,480.30,16644,0.04,480.30,15.25
N20ft302,20,0.90,622.40,16644,0.04,622.40,22.50
N20ft303,20,1.04,619.60,16644,0.05,619.60,20.80
N20ft304,20,0.96,435.30,16644,0.11,432.50,8.72
N20ft305,20,0.58,594.40,16644,0.04,594.40,14.50
N20ft306,20,0.50,604.90,16644,0.02,604.90,25.00
N20ft307,20,0.50,586.60,16644,0.08,586.60,6.25
N20ft308,20,0.39,667.00,16644,0.07,658.20,5.57
N20ft309,20,1.23,379.70,16644,0.05,379.70,24.60
N20ft310,20,0.43,560.00,16644,0.21,530.70,2.04
N20ft401,20,0.54,514.00,16644,0.06,510.40,9.00
N20ft402,20,0.48,734.50,16644,0.04,734.50,12.00
N20ft403,20,0.95,425.40,16644,0.17,423.10,5.58
N20ft404,20,0.46,456.30,16644,0.03,456.30,15.33
N20ft405,20,0.43,623.70,16644,0.03,606.80,14.33
N20ft406,20,0.45,636.30,16644,0.05,636.30,9.00
N20ft407,20,0.53,720.40,16644,0.05,720.40,10.60
N20ft408,20,0.58,563.50,16644,0.08,563.50,7.25
N20ft409,20,0.43,511.00,16644,0.18,472.80,2.38
N20ft410,20,0.67,685.50,16644,0.24,656.20,2.79
N40ft201,40,46.31,1575.30,667888,0.12,1575.30,385.91
N40ft202,40,31.09,1572.50,667888,0.23,1568.40,135.17
N40ft203,40,33.74,1588.20,667888,0.21,1583.40,160.66
N40ft204,40,34.38,1416.50,667888,0.12,1401.20,286.50
N40ft205,40,34.44,1456.90,667888,4.88,1409.90,7.05
N40ft206,40,31.31,1216.40,667888,0.06,1216.40,521.83
N40ft207,40,48.95,1424.60,667888,0.95,1404.60,51.52
N40ft208,40,31.64,1611.20,667888,0.06,1611.20,527.33
N40ft209,40,40.83,1139.20,667888,0.25,1137.10,163.32
N40ft210,40,40.32,1678.90,667888,0.07,1678.20,576.00
N40ft301,40,33.15,1414.40,667888,0.20,1414.40,165.75
N40ft302,40,36.17,1620.70,667888,0.33,1611.70,109.60
N40ft303,40,42.75,1668.80,667888,0.09,1668.80,475.00
N40ft304,40,35.68,1741.30,667888,0.18,1732.40,198.22
N40ft305,40,30.17,1424.30,667888,6.38,1376.80,4.72
N40ft306,40,26.60,1310.70,667888,0.05,1310.70,532.00
N40ft307,40,41.88,1432.80,667888,0.78,1413.90,53.69
N40ft308,40,31.85,1444.70,667888,0.13,1441.00,245.00
N40ft309,40,31.57,1176.80,667888,0.46,1164.20,68.63
N40ft401,40,33.45,1528.60,667888,0.21,1528.60,159.28
N40ft402,40,33.65,1739.70,667888,0.17,1736.10,197.94
N40ft403,40,33.84,1641.60,667888,0.10,1641.60,338.40
N40ft404,40,29.26,1389.00,667888,0.11,1371.10,266.00
N40ft405,40,60.15,1362.50,667888,5.84,1332.10,10.29
N40ft406,40,32.26,1464.40,667888,0.14,1462.00,230.42
N40ft407,40,49.13,1556.60,667888,0.51,1537.70,96.33
N40ft408,40,31.59,1455.20,667888,0.10,1451.50,315.90
N40ft409,40,35.94,1498.60,667888,0.24,1498.60,149.75
N40ft410,40,47.07,1139.40,667888,0.11,1130.90,427.90
